time;Y
00:00,0;0,460065
00:00,0;0,467306
00:00,0;0,474804
00:00,0;0,482534
00:00,0;0,490469
00:00,0;0,498583
00:00,0;0,506848
00:00,0;0,515237
00:00,0;0,523721
00:00,0;0,532272
00:00,0;0,540861
00:00,0;0,549459
00:00,0;0,558037
00:00,0;0,566567
00:00,0;0,57502
00:00,0;0,583367
00:00,0;0,59158
00:00,0;0,599632
00:00,0;0,607495
00:00,0;0,615143
00:00,0;0,62255
00:00,0;0,629691
00:00,0;0,636541
00:00,0;0,643079
00:00,0;0,649281
00:00,0;0,655126
00:00,0;0,660595
00:00,0;0,665668
00:00,0;0,670328
00:00,0;0,67456
00:00,0;0,678347
00:00,0;0,681679
00:00,0;0,684541
00:00,0;0,686925
00:00,0;0,688821
00:00,0;0,690222
00:00,0;0,691124
00:00,0;0,691521
00:00,0;0,691413
00:00,0;0,690798
00:00,0;0,689677
00:00,0;0,688054
00:00,0;0,685932
00:00,0;0,683318
00:00,0;0,680219
00:00,0;0,676644
00:00,0;0,672605
00:00,0;0,668113
00:00,0;0,663182
00:00,0;0,657827
00:00,0;0,652066
00:00,0;0,645915
00:00,0;0,639394
00:00,0;0,632523
00:00,0;0,625325
00:00,0;0,61782
00:00,0;0,610033
00:00,0;0,601989
00:00,0;0,593712
00:00,0;0,585229
00:00,0;0,576566
00:00,0;0,567751
00:00,0;0,558812
00:00,0;0,549776
00:00,0;0,540673
00:00,0;0,531531
00:00,0;0,522379
00:00,0;0,513245
00:00,0;0,50416
00:00,0;0,495151
00:00,0;0,486246
00:00,0;0,477475
00:00,0;0,468865
00:00,0;0,460442
00:00,0;0,452233
00:00,0;0,444265
00:00,0;0,436561
00:00,0;0,429148
00:00,0;0,422046
00:00,0;0,41528
00:00,0;0,408869
00:00,0;0,402834
00:00,0;0,397194
00:00,0;0,391965
00:00,0;0,387165
00:00,0;0,382808
00:00,0;0,378907
00:00,0;0,375473
00:00,0;0,372518
00:00,0;0,370049
00:00,0;0,368074
00:00,0;0,366598
00:00,0;0,365626
00:00,0;0,365158
00:00,0;0,365197
00:00,0;0,36574
00:00,0;0,366786
00:00,0;0,368329
00:00,0;0,370363
00:00,0;0,372882
00:00,0;0,375875
00:00,0;0,379333
00:00,0;0,383242
00:00,0;0,38759
00:00,0;0,39236
00:00,0;0,397537
